benchmark,problem_id,hypothesis_index,proposal_correctness,reference_trajectory_value,sensitivity_trajectory_value,trajectory_value_delta,reference_sign,sensitivity_sign,reference_category,sensitivity_category,reference_replicates,sensitivity_replicates
omni_16k,p_ae41e22007032823,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,1,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_ae41e22007032823,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_e6818132e2a707a0,0,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_e6818132e2a707a0,1,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_e6818132e2a707a0,2,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_e6818132e2a707a0,3,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_e6818132e2a707a0,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_488865b410a5902c,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_488865b410a5902c,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_488865b410a5902c,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_488865b410a5902c,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_488865b410a5902c,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_52c1cfde6d6ab156,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_52c1cfde6d6ab156,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_52c1cfde6d6ab156,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_52c1cfde6d6ab156,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_52c1cfde6d6ab156,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_635346a3f8facec4,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_635346a3f8facec4,1,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_635346a3f8facec4,2,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_635346a3f8facec4,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_635346a3f8facec4,4,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_72b466560dbe6698,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_72b466560dbe6698,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_72b466560dbe6698,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_72b466560dbe6698,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
