benchmark,problem_id,hypothesis_index,proposal_correctness,reference_trajectory_value,sensitivity_trajectory_value,trajectory_value_delta,reference_sign,sensitivity_sign,reference_category,sensitivity_category,reference_replicates,sensitivity_replicates
omni_16k,p_81f7cf2ef82629f6,0,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_81f7cf2ef82629f6,1,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_81f7cf2ef82629f6,2,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_81f7cf2ef82629f6,3,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_81f7cf2ef82629f6,4,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_ae41e22007032823,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_ae41e22007032823,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_cb2d435fd3cbbe60,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_cb2d435fd3cbbe60,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_cb2d435fd3cbbe60,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_cb2d435fd3cbbe60,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_cb2d435fd3cbbe60,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_2eb8a8c913fde7a9,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_2eb8a8c913fde7a9,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_2eb8a8c913fde7a9,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_2eb8a8c913fde7a9,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_2eb8a8c913fde7a9,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_516dfb46632b8519,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_516dfb46632b8519,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_516dfb46632b8519,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_516dfb46632b8519,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_516dfb46632b8519,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_80aa64d98da94756,0,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_80aa64d98da94756,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_80aa64d98da94756,2,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_80aa64d98da94756,3,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_80aa64d98da94756,4,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
omni_16k,p_bb819768b23aab8b,0,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_bb819768b23aab8b,1,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_bb819768b23aab8b,2,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_bb819768b23aab8b,3,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_bb819768b23aab8b,4,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_283abee205a0bdcc,0,0,0.0,0.0,0.0,0,0,wrong_neutral,wrong_neutral,5,3
omni_16k,p_283abee205a0bdcc,1,1,0.0,0.0,0.0,0,0,correct_neutral,correct_neutral,5,3
