benchmark,k,signal_category,count,eligible_count,eligible_signal_rate_pct
Omni-MATH-2,2,wrong_help,192,8347,2.300227626692225
Omni-MATH-2,3,wrong_help,263,12518,2.1009745965809237
Omni-MATH-2,4,wrong_help,360,16690,2.156980227681246
Omni-MATH-2,5,wrong_help,452,20862,2.1666187326239097
Omni-MATH-2,2,correct_help,263,8347,3.1508326344794537
Omni-MATH-2,3,correct_help,309,12518,2.4684454385684615
Omni-MATH-2,4,correct_help,391,16690,2.342720191731576
Omni-MATH-2,5,correct_help,447,20862,2.1426517112453265
Omni-MATH-2,2,wrong_harm,274,8347,3.2826165089253623
Omni-MATH-2,3,wrong_harm,357,12518,2.851893273685892
Omni-MATH-2,4,wrong_harm,448,16690,2.68424206111444
Omni-MATH-2,5,wrong_harm,526,20862,2.521330649026939
Omni-MATH-2,2,correct_harm,94,8347,1.1261531089014016
Omni-MATH-2,3,correct_harm,153,12518,1.222239974436811
Omni-MATH-2,4,correct_harm,212,16690,1.2702216896345118
Omni-MATH-2,5,correct_harm,234,20862,1.1216566005176876
JEEBench,2,wrong_help,9,1002,0.8982035928143712
JEEBench,3,wrong_help,13,1502,0.8655126498002663
JEEBench,4,wrong_help,27,2006,1.345962113659023
JEEBench,5,wrong_help,13,2510,0.5179282868525896
JEEBench,2,correct_help,31,1002,3.093812375249501
JEEBench,3,correct_help,32,1502,2.130492676431425
JEEBench,4,correct_help,48,2006,2.3928215353938187
JEEBench,5,correct_help,47,2510,1.8725099601593624
JEEBench,2,wrong_harm,16,1002,1.596806387225549
JEEBench,3,wrong_harm,29,1502,1.9307589880159788
JEEBench,4,wrong_harm,22,2006,1.0967098703888336
JEEBench,5,wrong_harm,29,2510,1.155378486055777
JEEBench,2,correct_harm,12,1002,1.1976047904191616
JEEBench,3,correct_harm,15,1502,0.9986684420772304
JEEBench,4,correct_harm,32,2006,1.5952143569292123
JEEBench,5,correct_harm,41,2510,1.6334661354581674
SciBench,2,wrong_help,15,1151,1.3032145960034753
SciBench,3,wrong_help,9,1730,0.5202312138728323
SciBench,4,wrong_help,18,2307,0.7802340702210663
SciBench,5,wrong_help,29,2886,1.0048510048510049
SciBench,2,correct_help,34,1151,2.953953084274544
SciBench,3,correct_help,28,1730,1.6184971098265897
SciBench,4,correct_help,40,2307,1.7338534893801474
SciBench,5,correct_help,54,2886,1.8711018711018712
SciBench,2,wrong_harm,20,1151,1.737619461337967
SciBench,3,wrong_harm,26,1730,1.5028901734104045
SciBench,4,wrong_harm,32,2307,1.387082791504118
SciBench,5,wrong_harm,43,2886,1.4899514899514898
SciBench,2,correct_harm,15,1151,1.3032145960034753
SciBench,3,correct_harm,13,1730,0.7514450867052023
SciBench,4,correct_harm,20,2307,0.8669267446900737
SciBench,5,correct_harm,31,2886,1.0741510741510742
LAB-Bench,2,wrong_help,28,1289,2.1722265321955003
LAB-Bench,3,wrong_help,47,1948,2.4127310061601643
LAB-Bench,4,wrong_help,52,2614,1.9892884468247896
LAB-Bench,5,wrong_help,71,3292,2.1567436208991495
LAB-Bench,2,correct_help,101,1289,7.835531419705198
LAB-Bench,3,correct_help,124,1948,6.365503080082136
LAB-Bench,4,correct_help,193,2614,7.383320581484315
LAB-Bench,5,correct_help,212,3292,6.439854191980559
LAB-Bench,2,wrong_harm,62,1289,4.809930178432894
LAB-Bench,3,wrong_harm,80,1948,4.1067761806981515
LAB-Bench,4,wrong_harm,89,2614,3.404743687834736
LAB-Bench,5,wrong_harm,130,3292,3.948967193195626
LAB-Bench,2,correct_harm,60,1289,4.654771140418929
LAB-Bench,3,correct_harm,94,1948,4.825462012320329
LAB-Bench,4,correct_harm,110,2614,4.208110175975516
LAB-Bench,5,correct_harm,151,3292,4.586877278250304
MaScQA,2,wrong_help,0,1298,0.0
MaScQA,3,wrong_help,8,1947,0.4108885464817668
MaScQA,4,wrong_help,6,2596,0.23112480739599384
MaScQA,5,wrong_help,11,3245,0.3389830508474576
MaScQA,2,correct_help,25,1298,1.926040061633282
MaScQA,3,correct_help,18,1947,0.9244992295839753
MaScQA,4,correct_help,29,2596,1.1171032357473036
MaScQA,5,correct_help,35,3245,1.078582434514638
MaScQA,2,wrong_harm,16,1298,1.2326656394453004
MaScQA,3,wrong_harm,8,1947,0.4108885464817668
MaScQA,4,wrong_harm,18,2596,0.6933744221879815
MaScQA,5,wrong_harm,26,3245,0.8012326656394453
MaScQA,2,correct_harm,1,1298,0.07704160246533127
MaScQA,3,correct_harm,7,1947,0.35952747817154596
MaScQA,4,correct_harm,3,2596,0.11556240369799692
MaScQA,5,correct_harm,13,3245,0.40061633281972264
